showdate,set,position,songid,slug,trans_mark,gap,isjam,city,state,country,venueid,tourid,showlength,artist,times_played,last_played,debut
2000-09-17,1,1,242,guyute,", ",5,0,Columbia,MD,USA,9,50,16,Phish,133.0,2023-08-02,1994-10-07
2000-09-17,1,2,45,back-on-the-train,", ",7,0,Columbia,MD,USA,9,50,16,Trey Anastasio,149.0,2023-10-06,1999-06-30
2000-09-17,1,3,48,bathtub-gin,", ",6,0,Columbia,MD,USA,9,50,16,Phish,298.0,2023-10-10,1989-05-26
2000-09-17,1,4,341,limb-by-limb,", ",6,0,Columbia,MD,USA,9,50,16,Phish,154.0,2023-07-26,1997-06-13
2000-09-17,1,5,591,the-moma-dance,", ",4,0,Columbia,MD,USA,9,50,16,Phish,193.0,2023-10-06,1998-06-30
2000-09-17,1,6,329,lawn-boy,", ",16,0,Columbia,MD,USA,9,50,16,Phish,219.0,2023-07-19,1989-11-30
2000-09-17,1,7,208,fluffhead,", ",17,0,Columbia,MD,USA,9,50,16,Phish,277.0,2023-10-14,1984-12-01
2000-09-17,1,8,576,the-curtain-with, > ,10,0,Columbia,MD,USA,9,50,16,Phish,40.0,2023-04-17,1987-08-09
2000-09-17,1,9,110,chalk-dust-torture,,4,0,Columbia,MD,USA,9,50,16,Phish,501.0,2023-10-14,1991-02-01
2000-09-17,2,10,466,rock-and-roll, > ,13,0,Columbia,MD,USA,9,50,16,The Velvet Underground,92.0,2023-08-25,1998-10-31
2000-09-17,2,11,609,theme-from-the-bottom, -> ,11,0,Columbia,MD,USA,9,50,16,Phish,180.0,2023-10-10,1995-05-16
2000-09-17,2,12,164,dog-log, > ,40,0,Columbia,MD,USA,9,50,16,Phish,23.0,2012-06-20,1985-10-30
2000-09-17,2,13,590,the-mango-song, > ,8,0,Columbia,MD,USA,9,50,16,Phish,106.0,2023-09-02,1989-03-30
2000-09-17,2,14,215,free,,10,0,Columbia,MD,USA,9,50,16,Phish,218.0,2023-10-08,1995-05-16
2000-09-17,e,15,130,contact, > ,24,0,Columbia,MD,USA,9,50,16,Phish,172.0,2022-06-03,1988-06-15
2000-09-17,e,16,472,rocky-top,,29,0,Columbia,MD,USA,9,50,16,Osborne Brothers,205.0,2019-12-28,1987-09-21
1998-07-02,1,1,65,birds-of-a-feather,", ",2,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,132.0,2023-10-08,1998-04-02
1998-07-02,1,2,106,cars-trucks-buses,", ",9,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,86.0,2023-07-19,1995-09-27
1998-07-02,1,3,609,theme-from-the-bottom,", ",3,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,180.0,2023-10-10,1995-05-16
1998-07-02,1,4,88,brian-and-robert,", ",2,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,52.0,2023-07-28,1998-06-30
1998-07-02,1,5,367,meat,", ",1180,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,48.0,2023-10-13,1998-07-02
1998-07-02,1,6,197,fikus,", ",1180,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,5.0,1998-11-07,1998-07-02
